,id_crmsociete,csoc_societe,csoc_intervention,csoc_type,csoc_metiers,csoc_web,csoc_tel,csoc_ville,csoc_pays,csoc_date,id_profil,id_societe,id_pole,id_action_previous,id_action_next,id_provenance,csoc_cp
159,947,CNR,Energie,0,,https://www.cnr.tm.fr,04 72 00 69 69,Lyon,France,2023-04-30T14:56:18+0200,17,1,,,,14,69004
160,1042,CH de Macon,Autres,0,,https://www.ch-macon.fr,03 85 20 30 40,Mâcon,France,2023-07-27T14:58:24+0200,60,1,20,,,14,71000
161,1038,ATMB,Autres,0,,https://www.atmb.com,04 50 25 21 89,Bonneville,France,2023-07-27T14:06:31+0200,60,1,20,,,14,74130
162,1037,Apicil Transverse,Autres,0,,https://mon.apicil.com,04 72 27 78 78,Caluire et Cuire,France,2023-07-27T13:57:29+0200,60,1,20,,,14,69300
163,1033,Heytens France,Autres,0,,https://www.heytens.fr/?gclid=CjwKCAjwq4imBhBQEiwA9Nx1Bh-jI4u0iF_HWvDVpNVq6f4qUXpMthCwwNnLbGA85wk5-p,00 32 10 23 51 11,Lezennes,France,2023-07-27T11:21:03+0200,60,1,20,,,14,59260
164,1030,Banque De Nouvelle Caledonie,Banque,0,,https://www.bnc.nc,,Noumea Cedex,Nouvelle_Caledonie,2023-07-27T10:29:55+0200,60,1,20,,,14,98800
165,1003,DITP Direction interministérielle de la transformation publique,Secteur public,1,CAISSE EPARGNE,,,PARIS,France,2023-05-17T15:56:03+0200,64,1,,,,12,75007
166,911,Centre Scientifique et Technique du Bâtiment (CSTB),,1,CREDIT AGRICOLE,,01 64 68 82 82,MARNE-LA-VALLEE CEDEX 02,France,2023-03-21T10:28:47+0100,368,1,,,,-1,77447
167,531,KIABI (BUNSHA),,1,CAISSE D'EPARGNE,,03 20 81 45 00,HEM,France,2020-07-06T14:36:38+0200,60,1,,,,11,59510
168,390,CARGLASS SERVICES,Automobile,1,CAISSE D'EPARGNE,https://www.carglass.fr/nos-services,09 77 40 19 27,Courbevoie Cedex,France,2019-10-23T17:39:38+0200,255,1,,,,-1,92411
169,413,GIE AGRICA GESTION,Assurance,1,BPI,,01 71 21 00 01,Paris cedex 08,France,2019-10-23T17:39:38+0200,255,1,,,,-1,75382
170,373,LOXAM,Services,1,"bpi france
REGL A 60 J",https://www.loxam.fr,01 58 44 04 00,PARIS Cedex 16,France,2019-09-12T06:56:06+0200,17,1,,,,-1,75219
171,745,MDS,,1,caisse Epargne,,,Dourdan,France,2021-12-17T15:34:31+0100,255,1,,,,6,91410
172,425,LACOSTE OPERATIONS HQ,Industrie,1,caisse epargne,,03 25 71 72 20,Troyes,France,2019-10-23T17:39:39+0200,255,1,,,,-1,10000
173,872,Conseil départemental du Vaucluse CD 84,,1,caisse Epargne,,04 90 87 63 56,Avignon,France,2022-10-26T15:12:27+0200,368,1,,,,-1,84909
